,ID,Salary,DOJ,DOL,Designation,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
train,466888,325000.00,9/1/14 0:00,present,software engineer,Pune,f,11/30/90 0:00,79,cbse,2008,62.2,cbse,7977,2,B.Tech/B.E.,computer engineering,76.3,7977,0,Uttar Pradesh,2012,485,445,435,0.8646854134,525,-1,-1,-1,-1,-1,-1,0.8192,0.2668,-0.2714,-0.4078,-0.1295
train,140069,320000.00,11/1/10 0:00,9/1/12 0:00,software engineer,Bangalore,f,7/25/88 0:00,91.2,karnataka secondary school of examination,2006,84.63,karnataka pre university board,4437,2,B.Tech/B.E.,computer engineering,78.15,4437,0,Karnataka,2010,455,535,445,0.6359787565,445,-1,-1,-1,-1,-1,-1,-0.1082,0.9688,0.5269,-0.2902,0.3444
train,339689,200000.00,8/1/12 0:00,12/1/13 0:00,software engineer,-1,f,8/20/91 0:00,75.67,up,2007,74.4,up,11368,2,B.Tech/B.E.,information technology,74.01,11368,0,Uttar Pradesh,2012,385,555,445,0.6359787565,445,-1,-1,-1,-1,-1,-1,-1.0355,-0.5913,-1.3599,0.06223,-1.3539
train,995191,190000.00,10/1/13 0:00,4/1/15 0:00,developer,Hyderabad,m,1/23/92 0:00,92.5,state board,2009,95.2,state board,8232,2,B.Tech/B.E.,electronics and communication engineering,76,8232,0,Telangana,2013,395,455,485,-1,455,-1,-1,-1,-1,-1,-1,-0.4463,-0.6201,-0.6048,0.7798,-2.7769
train,990077,180000.00,8/1/14 0:00,4/1/15 0:00,electrical project engineer,Bangalore,m,7/30/86 0:00,70,state board,2006,43.42,"p u board, karnataka",11388,2,B.Tech/B.E.,electronics and communication engineering,55.52,11388,1,Karnataka,2014,370,360,270,0.6493897148,-1,356,-1,-1,-1,-1,-1,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763
train,963123,335000.00,6/1/14 0:00,6/1/15 0:00,programmer analyst,Hyderabad,m,6/28/93 0:00,88,state board,2010,90,state board,9173,2,B.Tech/B.E.,computer science & engineering,76,9173,1,Telangana,2014,625,555,630,0.3565364877,475,-1,346,-1,-1,-1,-1,0.4155,0.8027,0.1357,-0.995,-0.6692
train,350211,435000.00,9/1/12 0:00,present,systems analyst,Gurgaon,f,3/2/91 0:00,86.8,cbse,2008,82.8,cbse,9019,2,B.Tech/B.E.,computer science & engineering,78,9019,0,Haryana,2012,575,585,575,0.744758354,565,-1,438,-1,-1,-1,-1,0.0464,1.2028,-0.9245,0.5323,-0.2875
train,65096,345000.00,1/1/11 0:00,10/1/13 0:00,senior software engineer,Bangalore,m,2/5/88 0:00,90.88,karnataka state education examination board,2006,82.5,dept of pre-university education,124,2,B.Tech/B.E.,computer engineering,66.15,124,0,Orissa,2010,415,335,405,0.8841225116,535,333,-1,313,-1,-1,320,0.8192,0.1888,-1.7954,1.8249,1.1343
train,810458,300000.00,9/1/14 0:00,1/1/15 0:00,ase,Bangalore,m,2/1/93 0:00,76.8,state board,2009,83,state board,64,2,B.Tech/B.E.,electronics and communication engineering,76.44,64,0,Uttar Pradesh,2014,535,510,605,0.8816200695,-1,420,-1,-1,-1,-1,-1,0.99,1.3779,0.7785,-0.2344,-0.6692
train,918981,145000.00,2/1/15 0:00,4/1/15 0:00,telecommunication engineer,Noida,m,1/20/94 0:00,84,cbse,2011,68,cbse,76,2,B.Tech/B.E.,electronics and communication engineering,72,76,0,Uttar Pradesh,2015,580,570,385,0.2073921697,335,260,-1,-1,-1,313,-1,0.1282,0.7119,1.3933,-0.3612,-0.0943
train,472956,220000.00,11/1/14 0:00,4/1/14 0:00,java software engineer,Gurgaon,m,6/11/92 0:00,64,cbse,2010,74,cbse,57,2,B.Tech/B.E.,information technology,68,57,0,Haryana,2014,485,375,435,0.4867470084,345,-1,376,-1,-1,-1,-1,-3.1994,-1.8393,0.0552,0.0623,-0.7615
train,192703,530000.00,12/1/11 0:00,present,systems engineer,Hyderabad,m,10/4/89 0:00,84,ssc,2007,92,bie,5003,2,B.Tech/B.E.,computer engineering,77.2,5003,0,Andhra Pradesh,2011,475,405,695,0.6707431514,455,-1,-1,-1,-1,-1,-1,-0.4173,0.6568,-0.0537,-1.2303,-0.9194
train,1094324,340000.00,8/1/14 0:00,4/1/15 0:00,software engineer,Bangalore,m,10/23/92 0:00,77.2,state board,2010,86.1,state board,7282,2,B.Tech/B.E.,computer science & engineering,71,7282,0,Tamil Nadu,2014,560,485,450,0.6226429158,485,-1,407,-1,-1,-1,-1,-0.0154,1.2114,1.0859,-1.5021,0.2889
train,580616,360000.00,10/1/13 0:00,present,application developer,Noida,f,9/14/91 0:00,87,cbse,2009,84.4,cbse,8195,1,B.Tech/B.E.,computer engineering,79.3,8195,1,Delhi,2013,570,475,295,0.4138382558,385,-1,-1,-1,-1,-1,-1,-0.7335,-0.4536,-1.0659,1.1601,-0.4776
train,1208010,145000.00,10/1/14 0:00,present,ios developer,Kolkata,m,1/7/92 0:00,73,state board,2010,68.4,state board,8297,2,B.Tech/B.E.,information technology,74.3,8297,1,West Bengal,2014,560,530,605,0.9113952784,445,-1,500,-1,-1,-1,-1,-0.7335,0.5454,-0.7585,-0.6147,1.4386
train,1073190,215000.00,1/1/15 0:00,present,executive assistant,Bangalore,f,8/30/89 0:00,71,cbse,2009,68,icse,7869,2,B.Tech/B.E.,computer science & engineering,70.86,7869,0,Uttar Pradesh,2013,430,510,405,0.3565364877,465,-1,346,-1,-1,-1,-1,1.5644,1.0449,0.3174,-1.8824,1.0554
train,942679,350000.00,3/1/14 0:00,present,online marketing manager,mohali,f,9/15/90 0:00,85,cbse,2008,61,cbse,272,2,B.Tech/B.E.,electronics and communication engineering,64.98,272,0,Punjab,2011,570,475,430,-1,-1,-1,-1,-1,-1,-1,-1,-0.4854,-0.5213,2.1129,-0.735,1.8224
train,602377,270000.00,3/1/13 0:00,present,software engineer,Hyderabad,f,8/21/92 0:00,91.5,state board,2009,93.8,state board,11509,1,B.Tech/B.E.,computer engineering,74.1,11509,1,Telangana,2013,380,535,530,0.5259225843,415,-1,-1,-1,-1,-1,-1,-1.0208,0.2124,0.4711,0.2727,-0.0943
train,922508,80000.00,10/1/10 0:00,4/1/15 0:00,documentation specialist,Gurgaon,m,2/13/93 0:00,77,cbse,2010,85.4,cbse,272,2,B.Tech/B.E.,electronics and communication engineering,63.9,272,0,Punjab,2014,475,605,415,0.6493897148,435,356,-1,-1,-1,-1,-1,0.2718,0.5454,0.3174,-1.8824,-0.4776
train,550371,330000.00,1/1/14 0:00,present,associate software engineer,Bangalore,m,10/2/91 0:00,52.33,state board,2007,67,state board,44,2,MCA,computer application,77.15,44,0,Uttar Pradesh,2013,450,525,545,0.7357957092,475,-1,-1,-1,-1,-1,-1,-0.0154,1.2114,0.6248,0.7798,0.8637
train,533417,200000.00,1/1/13 0:00,6/1/13 0:00,management trainee,-1,m,2/28/91 0:00,88,kerala state technical education,2008,89.66,kerala state hse board,867,2,B.Tech/B.E.,electronics and communication engineering,76.4,867,0,Kerala,2012,510,640,635,0.124502074,-1,233,-1,-1,-1,-1,-1,0.3941,1.2808,0.2366,-2.1998,-0.4455
train,245887,120000.00,6/1/11 0:00,3/1/12 0:00,site manager,Jhansi,m,5/4/89 0:00,66.6,cbse,2007,68.6,up board,105,2,B.Tech/B.E.,mechanical engineering,60.22,105,0,Uttar Pradesh,2011,425,595,475,0.1304417357,-1,-1,-1,286,-1,-1,-1,-0.4173,0.3448,0.0914,-0.4078,0.6603
train,955678,145000.00,7/1/14 0:00,9/1/14 0:00,software developer,Delhi,m,4/21/92 0:00,75,cbse,2009,60,cbse,105,2,B.Tech/B.E.,computer science & engineering,66,105,0,Uttar Pradesh,2014,380,545,460,0.3565364877,395,-1,346,-1,-1,-1,-1,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356
train,895673,350000.00,8/1/14 0:00,present,associate software engineer,Bangalore,m,12/11/91 0:00,91.4,icse,2010,73,cbse,119,1,B.Tech/B.E.,information technology,71,119,0,Uttar Pradesh,2014,555,560,825,0.2378028398,525,-1,315,-1,-1,-1,-1,-0.0154,0.2578,-0.5349,-1.1218,-1.359
train,1207660,120000.00,4/1/14 0:00,4/1/15 0:00,.net developer,Hyderabad ,m,7/5/93 0:00,59,state board,2010,87.7,state board,16150,2,B.Tech/B.E.,electronics and communication engineering,71.04,16150,1,Telangana,2014,300,340,355,0.1121394382,155,228,-1,-1,-1,-1,-1,-0.0154,-2.4516,-0.4511,0.2727,-3.1602
train,247617,380000.00,5/1/12 0:00,4/1/15 0:00,programmer analyst,Bangalore ,f,1/6/89 0:00,84.5,0,2007,82.5,0,3461,2,B.Tech/B.E.,computer engineering,92.1,3461,0,Karnataka,2011,425,525,515,0.3775514194,375,-1,-1,-1,-1,-1,-1,0.51,0.6568,-0.6343,0.2973,0.1864
train,1230582,110000.00,9/1/14 0:00,1/1/15 0:00,production engineer,Chennai,m,10/12/92 0:00,95.8,state board,2010,87.16,state board,482,2,B.Tech/B.E.,mechanical engineering,79,482,0,Tamil Nadu,2014,430,395,500,0.0669607065,-1,-1,-1,253,-1,-1,-1,-0.5899,-1.1196,0.4711,-0.7415,-1.4356
train,592833,205000.00,7/1/13 0:00,4/1/15 0:00,jr. software engineer,noida,f,9/24/91 0:00,85.6,cbse,2008,82,cbse,13094,2,B.Tech/B.E.,computer science & engineering,74.01,13094,0,Haryana,2012,370,495,455,0.08005528134,445,-1,253,-1,-1,-1,-1,0.1282,0.5454,0.1637,-0.4879,0.8637
train,434621,95000.00,10/1/12 0:00,10/1/13 0:00,software developer,delhi,m,2/1/92 0:00,69.6,bseb,2008,71.4,bseb,3054,2,B.Tech/B.E.,computer engineering,77,3054,0,Orissa,2012,485,415,575,0.9256457671,-1,-1,-1,-1,-1,-1,-1,-0.4173,0.6568,-0.7794,1.7074,0.1864
train,338428,390000.00,9/1/13 0:00,present,software engineer,Bangalore,m,2/28/91 0:00,86.6,cbse,2009,75,cbse,11637,2,B.Tech/B.E.,computer science & engineering,74,11637,0,Madhya Pradesh,2013,505,545,565,0.3565364877,475,-1,346,-1,-1,-1,-1,-2.5039,0.0328,0.3817,0.26793,0.5024
train,305559,270000.00,5/1/12 0:00,7/1/14 0:00,qa analyst,Bangalore,m,3/27/89 0:00,81.92,state board,2007,61.46,state board,1109,2,B.Tech/B.E.,information technology,57.54,1109,1,Karnataka,2011,565,465,415,0.8431237267,515,-1,-1,-1,-1,-1,-1,1.2828,1.7488,1.8331,-2.2879,1.1343
train,245337,60000.00,6/1/11 0:00,2/1/13 0:00,trainee software developer,Bhubaneswar,f,2/13/88 0:00,66.5,cbse,2005,49.5,chse,889,2,MCA,computer application,89.7,889,0,Orissa,2011,505,505,485,0.9168699611,555,-1,-1,-1,-1,-1,-1,-1.0355,0.0328,-2.2308,1.0024,0.3444
train,852310,120000.00,2/1/15 0:00,present,ui developer,Hyderabad,m,11/3/91 0:00,80,state board,2009,72.5,state board,12867,2,B.Tech/B.E.,electronics and computer engineering,57.8,12867,0,Andhra Pradesh,2013,580,485,455,0.7833035367,405,388,-1,-1,-1,-1,-1,-0.4463,-0.1206,-1.0659,-0.1076,-1.244
train,794209,400000.00,4/1/15 0:00,present,software engineer,Navi Mumbai,m,3/9/92 0:00,85.2,icse,2010,81.5,icse,8350,2,B.Tech/B.E.,computer science & engineering,57.64,8350,0,Uttar Pradesh,2014,545,385,485,0.6000571823,435,-1,-1,-1,-1,-1,-1,1.1336,0.3789,1.0859,0.653,0.2889
train,1082717,350000.00,9/1/14 0:00,present,assistant system engineer,Mumbai,m,8/6/91 0:00,89.25,state board,2010,78,state board,2066,2,B.Tech/B.E.,electrical engineering,80,2066,1,West Bengal,2014,570,510,545,0.7929362776,-1,-1,-1,-1,484,-1,-1,-0.159,-0.1206,-0.6048,-1.6289,-1.4356
train,764522,120000.00,11/1/14 0:00,present,android developer,New Delhi,f,1/14/92 0:00,58.4,cbse,2008,64.8,cbse,85,2,MCA,computer application,80,85,0,Haryana,2014,440,415,554,0.7935806145,495,-1,-1,-1,-1,-1,-1,0.335,0.0924,-0.6582,-0.4821,-0.1543
train,989860,250000.00,8/1/14 0:00,present,software engineer,Mangalore,m,2/13/92 0:00,90.8,state board,2010,90.1,state board,12832,2,B.Tech/B.E.,computer science & engineering,67.7,12832,0,Karnataka,2014,525,530,595,0.4867470084,485,-1,376,-1,-1,-1,-1,-0.3027,0.7119,-0.2974,1.1601,-0.4776
train,416752,240000.00,3/1/13 0:00,present,customer service,Rewari,f,7/15/89 0:00,78,cbse,2006,70.1,cbse,166,2,B.Tech/B.E.,electronics and communication engineering,68.2,166,0,Haryana,2011,415,595,495,0.6944793277,-1,366,-1,-1,-1,-1,-1,0.8192,-0.0842,-0.598,-0.6428,-0.6035
train,294700,525000.00,3/1/12 0:00,present,test engineer,Hyderabad,f,8/15/89 0:00,89.88,0,2007,95.4,0,1027,2,B.Tech/B.E.,electronics and communication engineering,80.8,1027,1,Telangana,2011,555,475,635,0.6944793277,-1,366,-1,-1,-1,420,-1,0.3555,-0.2793,-0.6343,-0.2902,-0.2875
train,1063642,200000.00,6/1/13 0:00,1/1/14 0:00,project engineer,Gaziabaad,m,3/27/90 0:00,63.3,state board,2008,61.1,state board,11386,2,B.Tech/B.E.,electronics and communication engineering,66.9,11386,0,Uttar Pradesh,2013,420,510,665,0.1121394382,-1,228,-1,-1,-1,-1,-1,-1.0208,-0.6201,-0.2974,-0.1076,-1.244
train,536053,120000.00,9/1/09 0:00,4/1/13 0:00,software engineer,Bangalore,m,10/30/77 0:00,72,cbse,1995,49,puc,712,2,B.Tech/B.E.,computer engineering,55,712,0,Karnataka,2011,640,460,250,0.5259225843,415,300,-1,366,-1,-1,400,-0.3014,-0.4353,-0.9245,-0.349,-0.4455
train,652717,305000.00,11/1/13 0:00,present,software engineer,Chennai,f,12/27/91 0:00,83,state board,2009,79,state board,9173,2,B.Tech/B.E.,information technology,70,9173,1,Telangana,2013,430,410,310,0.1656330915,305,-1,-1,-1,-1,-1,-1,-0.159,-0.1206,0.1637,1.5404,-0.0943
train,940402,300000.00,10/1/14 0:00,4/1/15 0:00,java developer,Chennai,m,6/30/93 0:00,85.3,state board,2010,88.3,state board,434,2,B.Tech/B.E.,computer science & engineering,85,434,1,Tamil Nadu,2014,370,375,325,0.3565364877,315,-1,346,-1,-1,-1,-1,1.8517,1.5444,0.3174,0.3995,0.6721
train,1218578,145000.00,6/1/14 0:00,present,engineer,Noida,f,3/2/91 0:00,81,cbse,2009,77.8,cbse,11942,2,B.Tech/B.E.,electronics and communication engineering,65.35,11942,0,Uttar Pradesh,2014,535,510,390,0.2073921697,-1,260,-1,-1,-1,260,-1,-1.1644,-0.9531,0.01,-0.7415,-0.8608
train,636871,150000.00,10/1/14 0:00,4/1/15 0:00,management trainee,Bhiwadi,m,1/10/92 0:00,60.66,up,2008,62.4, upboard,9738,2,B.Tech/B.E.,mechanical engineering,69.3,9738,0,Uttar Pradesh,2013,370,410,470,0.7553751209,315,-1,-1,446,-1,-1,-1,-2.2351,-2.6847,-2.6028,0.3995,-5.477
train,31330,600000.00,7/1/10 0:00,7/1/12 0:00,java software engineer,Gurgaon,m,5/29/86 0:00,78,cbse,2004,83,cbse,2,1,B.Tech/B.E.,information technology,72.13,2,1,Delhi,2010,444,555,695,0.9999045583,804,-1,-1,-1,-1,-1,-1,0.6646,0.3448,0.8171,0.6498,0.0284
train,1044453,310000.00,2/1/14 0:00,5/1/14 0:00,system engineer,Mysore,m,12/2/90 0:00,89.37,state board,2009,79,state board,2085,2,B.Tech/B.E.,applied electronics and instrumentation,70,2085,0,West Bengal,2013,630,580,510,0.3387863472,-1,292,-1,-1,-1,-1,-1,0.99,1.2114,-0.2974,-1.1218,1.247
train,125529,455000.00,1/1/11 0:00,9/1/13 0:00,system engineer,Bangalore,m,8/29/89 0:00,90,"state board of secondary education, andhra pradesh",2006,94.4,"state  board of intermediate education, andhra pradesh",1396,2,B.Tech/B.E.,electronics and communication engineering,76.12,1396,0,Andhra Pradesh,2010,505,525,595,0.124502074,615,233,-1,-1,-1,-1,-1,-0.2628,-0.1232,0.0914,-1.2303,-0.1295
train,810433,400000.00,8/1/14 0:00,2/1/15 0:00,test engineer,Bangalore,f,8/5/91 0:00,81,icse,2010,79,icse,64,2,B.Tech/B.E.,electronics and communication engineering,71.5,64,0,Uttar Pradesh,2014,510,500,575,0.4935963873,455,324,-1,-1,-1,-1,-1,-1.8825,-3.7836,-2.4491,0.9066,-1.8189
train,86373,150000.00,7/1/10 0:00,1/1/12 0:00,recruitment coordinator,Chennai,f,3/18/89 0:00,78,matriculation,2006,86.67,state board,4173,2,B.Tech/B.E.,instrumentation and control engineering,77.55,4173,1,Tamil Nadu,2010,535,465,535,0.9107701642,445,433,-1,-1,-1,-1,-1,-0.881,1.4368,0.3817,-0.4078,-0.1295
train,1237891,250000.00,6/1/15 0:00,present,software developer,Mangalore,m,1/15/93 0:00,84.4,cbse,2011,73.2,cbse,272,2,B.Tech/B.E.,computer science & engineering,70,272,0,Punjab,2015,570,410,535,0.6707431514,455,-1,-1,-1,-1,-1,-1,-0.0154,0.8784,0.01,-0.7415,-0.2859
train,801755,320000.00,3/1/14 0:00,present,system engineer,Chennai,m,12/12/92 0:00,89,state board,2009,92,state board,14382,2,B.Tech/B.E.,electrical engineering,76.4,14382,1,Telangana,2013,625,645,605,0.9820571243,385,388,-1,-1,606,-1,-1,-1.4517,-1.4526,-1.2196,1.794,-2.3937
train,1089599,250000.00,5/1/14 0:00,present,java software engineer,Rajkot,m,12/3/90 0:00,86,gujarat state board,2008,64,state board,9564,2,B.Tech/B.E.,information technology,61.17,9564,0,Gujarat,2013,665,545,415,0.9113952784,405,-1,500,-1,-1,-1,-1,1.1336,1.3779,2.1617,-0.995,1.0554
train,1230478,200000.00,6/1/14 0:00,1/1/15 0:00,technical support engineer,Bangalore,m,12/21/92 0:00,85,icse,2010,75,cbse,319,2,B.Tech/B.E.,computer science & engineering,60,319,1,Karnataka,2014,675,480,500,0.8422483223,425,-1,469,-1,-1,-1,-1,1.1336,1.0449,0.1637,-1.2486,0.0973
train,982400,240000.00,6/1/14 0:00,4/1/15 0:00,android developer,Greater Noida,m,7/6/92 0:00,75,cbse,2009,64,cbse,184,2,B.Tech/B.E.,computer science & engineering,67,184,0,Uttar Pradesh,2014,510,480,485,-1,-1,-1,-1,-1,-1,-1,-1,-0.159,0.8784,1.2396,0.2727,-0.6692
train,1225896,120000.00,4/1/15 0:00,8/1/15 0:00,data analyst,Indore,f,8/10/91 0:00,86,state board,2009,77,state board,4973,2,B.Tech/B.E.,computer science & engineering,75,4973,0,Madhya Pradesh,2013,325,510,295,0.01854094168,415,-1,192,-1,-1,-1,-1,0.1282,0.0459,0.1637,0.0192,-0.0943
train,1067148,300000.00,9/1/14 0:00,present,programmer analyst,Bangalore,m,9/3/92 0:00,70.6,cbse,2010,78.67,state board,182,2,B.Tech/B.E.,electronics and communication engineering,75.84,182,1,Karnataka,2014,580,485,510,0.05316030528,285,196,-1,-1,-1,-1,-1,0.5591,0.2124,-1.2196,-0.7415,-0.8608
train,361583,800000.00,6/1/12 0:00,present,software engineer,Bangalore,m,1/25/91 0:00,93.44,karnataka state board,2008,90,karnataka state board,1384,2,B.Tech/B.E.,computer engineering,87.6,1384,0,Karnataka,2012,515,475,635,0.9421165515,575,-1,-1,-1,-1,-1,-1,-0.4173,0.9688,-0.1988,-0.2902,0.3049
train,754392,120000.00,7/1/14 0:00,present,test engineer,-1,m,2/18/92 0:00,76,state board,2009,72,state board,8888,2,B.Tech/B.E.,computer science & engineering,63.2,8888,0,Tamil Nadu,2013,510,355,340,0.1230167316,285,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,0.4711,0.2727,-0.4776
train,1168608,325000.00,12/1/14 0:00,4/1/15 0:00,system engineer,Mysore,f,5/5/93 0:00,86.4,cbse,2010,78.2,cbse,6982,2,B.Tech/B.E.,electronics and communication engineering,73.5,6982,1,Karnataka,2014,535,435,440,0.2073921697,355,260,530,-1,-1,-1,-1,0.8463,1.3779,1.3933,0.653,-0.2859
train,1089852,100000.00,8/1/13 0:00,5/1/14 0:00,software developer,-1,f,5/17/92 0:00,86,state board,2009,95,state board,4726,2,B.Tech/B.E.,electronics and communication engineering,78.6,4726,0,Telangana,2013,405,545,450,0.6493897148,375,356,-1,-1,-1,-1,-1,0.5591,-0.4536,0.01,-0.4879,0.6721
